epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,160.023,1.09334,0.74661,1.07525,0.91958,0.90566,0.95179,0.66775,0.9949,0.67561,1.04102,0.0009506,0.0009506,0.0009506
55,163.043,1.07639,0.79697,1.0843,0.90998,0.86415,0.92791,0.65066,1.01885,0.73128,1.07441,0.0009308,0.0009308,0.0009308
56,166.022,1.01826,0.79279,1.03299,0.96069,0.92216,0.9715,0.69896,0.97462,0.61802,1.02203,0.000911,0.000911,0.000911
57,169.012,1.0136,0.71849,1.0283,0.9248,0.93208,0.95574,0.68295,0.95215,0.63427,1.0004,0.0008912,0.0008912,0.0008912
58,172.604,1.09013,0.77892,1.05414,0.94017,0.93208,0.96728,0.70048,0.93935,0.64064,0.98913,0.0008714,0.0008714,0.0008714
59,176.561,1.03482,0.73631,1.03773,0.88575,0.91321,0.91468,0.62793,0.98536,0.70945,1.00375,0.0008516,0.0008516,0.0008516
60,180.383,1.10237,0.76104,1.05524,0.93813,0.93208,0.97208,0.70875,0.90207,0.64174,0.97643,0.0008318,0.0008318,0.0008318
61,184.2,0.99034,0.69976,1.00088,0.94138,0.97736,0.98302,0.71387,0.93198,0.58194,0.98778,0.000812,0.000812,0.000812
62,188.018,1.03117,0.7224,1.02357,0.95093,0.95062,0.97857,0.7199,0.93975,0.58434,0.97817,0.0007922,0.0007922,0.0007922
63,191.853,0.98492,0.67497,0.99158,0.97048,0.92075,0.98299,0.72724,0.89979,0.54825,0.97426,0.0007724,0.0007724,0.0007724
64,195.674,0.91453,0.6706,0.99793,0.95905,0.95094,0.97834,0.73687,0.87979,0.54936,0.96376,0.0007526,0.0007526,0.0007526
65,199.454,0.96666,0.70529,1.03218,0.92464,0.87976,0.94016,0.69359,0.94592,0.67566,0.98243,0.0007328,0.0007328,0.0007328
