                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.0404,                0.96888,                 1.1031,                0.93705,                0.26316,                0.37873,                0.18689,                 2.2608,                 3.5254,                 2.1324,              0.0018436,              0.0018436,              0.0018436
                     81,                0.97711,                 1.0085,                    1.1,                0.26036,                0.36842,                0.18854,                0.09718,                 2.3377,                 4.0159,                 2.2388,              0.0018416,              0.0018416,              0.0018416
                     82,                 1.0352,                0.95113,                 1.1253,                0.15476,                0.47368,                 0.1156,                 0.0484,                 2.3847,                 3.7702,                 2.1978,              0.0018396,              0.0018396,              0.0018396
                     83,                  0.985,                   0.96,                 1.0857,                0.27332,                0.36842,                0.21897,                0.10632,                 2.3953,                 3.3831,                 2.2418,              0.0018376,              0.0018376,              0.0018376
                     84,                 1.0677,                 1.0185,                 1.0801,                0.21242,                0.47368,                0.30782,                0.12312,                 2.4114,                 3.3083,                 2.2899,              0.0018357,              0.0018357,              0.0018357
                     85,                0.93042,                0.92837,                 1.0424,                0.80899,                0.36842,                0.42007,                0.19814,                 2.3928,                 2.9663,                 2.2676,              0.0018337,              0.0018337,              0.0018337
                     86,                0.88975,                0.92864,                 1.0234,                 0.6798,                0.42105,                0.43034,                0.20065,                  2.279,                 3.4156,                 2.2577,              0.0018317,              0.0018317,              0.0018317
                     87,                0.94009,                 1.0176,                 1.0659,                0.74478,                0.47368,                0.47231,                0.21922,                  2.174,                 6.5387,                 2.1866,              0.0018297,              0.0018297,              0.0018297
                     88,                0.84477,                0.80495,                 1.0455,                0.86317,                0.47368,                0.49569,                0.19548,                 2.2589,                 6.4099,                 2.2443,              0.0018277,              0.0018277,              0.0018277
                     89,                0.90512,                0.96722,                   1.05,                0.85928,                0.32209,                0.39382,                 0.1435,                 2.2338,                 4.8614,                 2.2245,              0.0018258,              0.0018258,              0.0018258
                     90,                0.93751,                0.92906,                 1.0166,                0.75606,                0.36842,                0.43976,                0.17725,                 2.1005,                  5.529,                 2.1135,              0.0018238,              0.0018238,              0.0018238
                     91,                 1.0401,                0.95829,                 1.1006,                0.87453,                0.36842,                0.44681,                0.16777,                 1.9693,                 4.7004,                  2.017,              0.0018218,              0.0018218,              0.0018218
                     92,                 0.8311,                0.76788,                0.98726,                0.28944,                0.52632,                 0.3499,                0.13497,                 1.9609,                 4.2695,                 2.0038,              0.0018198,              0.0018198,              0.0018198
                     93,                  1.037,                0.92827,                 1.0859,                0.23725,                0.47368,                0.25686,                0.08962,                 2.1179,                 4.1354,                 2.1598,              0.0018178,              0.0018178,              0.0018178
                     94,                0.85803,                0.92877,                  1.022,                0.22854,                0.47368,                0.26188,                0.09623,                 2.0709,                 4.1701,                 2.2127,              0.0018159,              0.0018159,              0.0018159
                     95,                0.97044,                0.93836,                 1.0578,                0.85449,                0.30992,                  0.359,                0.12868,                 2.0673,                 3.6003,                 2.1701,              0.0018139,              0.0018139,              0.0018139
                     96,                0.96341,                0.93993,                 1.0935,                0.84217,                0.28269,                0.33149,                0.14801,                 2.0433,                 3.4096,                  2.145,              0.0018119,              0.0018119,              0.0018119
                     97,                0.87184,                0.83479,                 1.0214,                0.82836,                0.25531,                0.37992,                0.15724,                 2.0768,                 3.3185,                 2.0858,              0.0018099,              0.0018099,              0.0018099
                     98,                0.87643,                0.90045,                  1.078,                0.74141,                0.31579,                0.37569,                0.15221,                 2.1151,                 3.2805,                 2.1155,              0.0018079,              0.0018079,              0.0018079
                     99,                0.91248,                0.90105,                 1.0254,                0.81215,                0.52632,                0.50723,                0.22725,                 2.1995,                  2.704,                 2.1822,               0.001806,               0.001806,               0.001806
                    100,                 1.0214,                 0.8893,                 1.1266,                0.77507,                0.57895,                0.55135,                 0.2216,                 2.3926,                 2.5213,                 2.2715,               0.001804,               0.001804,               0.001804
                    101,                0.93493,                0.87634,                0.99487,                0.76793,                0.52275,                0.54004,                0.19435,                 2.5078,                 2.3545,                 2.3574,               0.001802,               0.001802,               0.001802
                    102,                0.92859,                0.82938,                 1.0353,                0.64099,                0.47368,                0.49513,                0.18302,                 2.3821,                  2.746,                 2.2232,                 0.0018,                 0.0018,                 0.0018
                    103,                0.93397,                0.86368,                 1.0526,                0.72635,                0.47368,                0.45488,                0.18293,                 2.3177,                  2.801,                 2.1358,               0.001798,               0.001798,               0.001798
                    104,                0.92347,                0.90392,                 1.0555,                0.79299,                0.47368,                0.49037,                0.23154,                 2.1823,                  2.737,                 2.0303,              0.0017961,              0.0017961,              0.0017961
                    105,                0.95361,                0.97968,                 1.0577,                0.68239,                0.52632,                0.53589,                0.23776,                 2.2174,                 2.6515,                 2.0611,              0.0017941,              0.0017941,              0.0017941
                    106,                0.94042,                 0.9542,                 1.0959,                0.73306,                0.52632,                 0.5564,                0.24826,                  2.248,                 2.6079,                 2.1491,              0.0017921,              0.0017921,              0.0017921
